Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change,IndustryEncoded,SeriesEncoded,Percentage Change Binary
1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0000000000000002,0.8989528795811518,0.0,0.013023587076919134,1.0,0.9999999999999999,0.11014399312271653,0.27697495183044313,8,0,1
0.11292770660341116,0.11255314973506901,0.11103223211658735,0.11251620229028077,0.11233768781138441,0.23273388176774445,0.8680628272251308,0.01692968881663976,0.2734057477495617,0.09708815283630197,0.08371804522208832,0.4724908661078874,0.0476878612716763,10,0,1
0.024110335341856342,0.023954994439720025,0.02422334932207553,0.024070443808850466,0.02439815359669426,0.17543524009948347,0.8581151832460732,0.001976658344007675,0.007546457844160195,0.0212051135695939,0.018582472644804046,0.6347517730496455,0.9999999999999999,0,0,1
0.003220979618371673,0.0030221757048472554,0.0034064928509537915,0.0030851303146190185,0.0033920468662142203,0.15668643581404249,0.7267015706806282,0.15872553940357528,0.16981956650349292,0.0019243037252169824,0.003627975796264768,0.20621104663657855,0.3564547206165703,1,0,1
0.14178489014014886,0.13965853339438736,0.1374150063838,0.14131342995790083,0.13800687824460922,0.1430074612588483,0.7602094240837696,5.568633974253369e-05,0.0023853179235065448,0.16042229758087534,0.14950943176788706,0.03879217709004943,0.32369942196531787,2,0,1
0.4170322393464554,0.40744423366258914,0.41291174160321104,0.41306199183725933,0.4019196317654597,0.08934379185000958,0.7518324607329843,3.3154202844997934e-05,0.006878682807299599,0.32620200782312353,0.3404708292008438,0.35708145282613374,0.1965317919075144,13,0,1
0.8158534521433348,0.8184705959311834,0.8162626292618275,0.8108857966170688,0.8143240097812299,0.9636502774057778,0.9209424083769633,0.0004708612362324489,0.06438790745696843,0.8033957560394177,0.8332003398602438,0.0,0.19412331406551056,0,0,1
0.015685821510985985,0.015380388565447767,0.01585557765966923,0.01570684834656297,0.01573104232866502,0.1571647216376507,0.7607329842931937,0.0009578861401828549,0.0022933199652675528,0.017094196451055116,0.017635903714879223,0.05018267784225231,0.3949903660886319,5,0,1
0.03868130569218824,0.038029698436580106,0.03862401442495863,0.03832310312690812,0.037919265623161114,0.16089535106179456,0.781675392670157,0.0011465550211209367,0.006722341240801702,0.03845879429885675,0.036870959717515396,0.3181818181818182,0.04287090558766859,7,0,1
0.0321023406501597,0.03128933080395107,0.03236438136524243,0.03198680249809857,0.03136270317628444,0.14740769083604363,0.7287958115183245,3.561095312775678e-05,0.0,0.029267463528463745,0.02583196301596891,0.29840962819686223,0.11030828516377647,6,0,1
0.012182771117027136,0.012588473866684113,0.012335714999095741,0.012021831581879142,0.012846364076209905,0.18327912760665777,0.9842931937172774,0.006789368542746926,0.015718610468573598,0.00944524652911847,0.00788269006490297,0.8189340210616806,0.28082851637764933,4,0,1
0.046471831875072186,0.04596062013475502,0.045952562832517696,0.0462207153645917,0.0463693068141697,0.18787067151329637,0.8581151832460732,0.0028127882582029283,0.01971004856751992,0.03677791394564105,0.04343879123470709,0.04771115409413282,0.03757225433526011,2,0,1
0.14436382294551733,0.14226728592922092,0.1440795316207294,0.14483776285203157,0.1416159951878441,0.14912951980103312,0.7664921465968586,0.002823402373502226,0.05879284930619042,0.121138801685497,0.13713942346521762,0.0349237051364711,0.019267822736030824,0,0,1
0.014154580157798451,0.014189834499901875,0.014187421889550814,0.01437049415646324,0.013884639022923122,0.1373636885402717,0.6083769633507853,0.0015257770866120314,0.0035236312997621393,0.013205717931069217,0.009966433955010515,0.7727272727272727,0.1936416184971098,1,0,1
0.00013431941694627518,0.0001622293451952637,0.0004183885831203155,0.0,0.0006538255331947221,0.16673043810981444,0.9999999999999999,0.12769517730140195,0.0858557449682217,0.0,0.0026135640420108614,0.02364066193853428,0.0688824662813102,6,0,1
0.02262207620209162,0.022699025315627657,0.022752241078200876,0.022402009619607716,0.023100963738835932,0.18758370001913147,0.9282722513089005,0.003413483578957875,0.012572167715955186,0.019136014907583057,0.016408271655591056,0.6807436062755211,0.04287090558766859,9,0,1
0.009963814349074673,0.010139334074703996,0.01023837352113132,0.009817784490792814,0.010628587867613407,0.18088769848861683,0.9916230366492146,0.27949127364287224,0.5738318083284797,0.0074432991421424614,0.010586711206019273,0.3607350096711799,0.046242774566473986,5,0,1
0.0018348032354861153,0.002017400405573363,0.0021945156004955883,0.001711283221390237,0.0022936199704470866,0.16558255213315481,0.9157068062827225,0.04919061248843767,0.04514391807669672,0.0009296254637634936,0.002684637477022281,0.4614227380184827,0.5081888246628131,0,0,1
0.16451173548745857,0.165199188853274,0.16354674750114045,0.1664658118284753,0.16436912374302043,0.208819590587335,0.8188481675392669,0.00022424008082501715,0.006878888706939419,0.17133437977403598,0.09866608084926291,1.0,0.32562620423892097,2,0,1
0.052223389308711676,0.05126970628638713,0.05201244908480871,0.05242579083244957,0.05163391000745361,0.15879089343791852,0.7748691099476439,0.00021205173718919418,0.00174863391145424,0.060073110950694175,0.03928099528653901,0.591124006017623,0.49710982658959535,12,0,1
0.05396148256399648,0.053488585072283636,0.053038175933748835,0.053719295990401816,0.05363723144116224,0.18586187105414198,0.8429319371727748,0.02247766700696236,0.180380751367094,0.042548726643947155,0.040970604673401405,0.4212336127229745,0.2692678227360308,0,0,1
